event_id,label,attack_type
0,0,normal
1,0,normal
2,0,normal
3,0,normal
4,0,normal
5,0,normal
6,0,normal
7,0,normal
8,0,normal
9,0,normal
10,0,normal
11,0,normal
12,0,normal
13,0,normal
14,0,normal
15,0,normal
16,0,normal
17,0,normal
18,0,normal
19,0,normal
20,0,normal
21,0,normal
22,0,normal
23,0,normal
24,0,normal
25,0,normal
26,0,normal
27,0,normal
28,0,normal
29,0,normal
30,0,normal
31,0,normal
32,0,normal
33,0,normal
34,0,normal
35,0,normal
36,0,normal
37,0,normal
38,0,normal
39,0,normal
40,0,normal
41,0,normal
42,0,normal
43,0,normal
44,0,normal
45,0,normal
46,0,normal
47,0,normal
48,0,normal
49,0,normal
50,0,normal
51,0,normal
52,0,normal
53,0,normal
54,0,normal
55,0,normal
56,0,normal
57,0,normal
58,0,normal
59,0,normal
60,0,normal
61,0,normal
62,0,normal
63,0,normal
64,0,normal
65,0,normal
66,0,normal
67,0,normal
68,0,normal
69,0,normal
70,0,normal
71,0,normal
72,0,normal
73,0,normal
74,0,normal
75,0,normal
76,0,normal
77,0,normal
78,0,normal
79,0,normal
80,0,normal
81,0,normal
82,0,normal
83,0,normal
84,0,normal
85,0,normal
86,0,normal
87,0,normal
88,0,normal
89,0,normal
90,0,normal
91,1,lateral_movement
92,0,normal
93,0,normal
94,1,lateral_movement
95,1,lateral_movement
96,0,normal
97,1,lateral_movement
98,1,lateral_movement
99,1,lateral_movement
100,0,normal
101,0,normal
102,0,normal
103,1,lateral_movement
104,0,normal
105,0,normal
106,0,normal
107,0,normal
108,0,normal
109,0,normal
110,0,normal
111,0,normal
112,0,normal
113,0,normal
114,0,normal
115,0,normal
116,0,normal
117,0,normal
118,0,normal
119,0,normal
120,0,normal
121,0,normal
122,0,normal
123,0,normal
124,0,normal
125,0,normal
126,0,normal
127,0,normal
128,0,normal
129,0,normal
130,0,normal
131,0,normal
132,0,normal
133,0,normal
134,0,normal
135,0,normal
136,0,normal
137,0,normal
138,0,normal
139,0,normal
140,0,normal
141,0,normal
142,0,normal
143,0,normal
144,0,normal
145,0,normal
146,0,normal
147,0,normal
148,0,normal
149,0,normal
150,0,normal
151,0,normal
152,0,normal
153,0,normal
154,0,normal
155,0,normal
156,0,normal
157,0,normal
158,0,normal
159,0,normal
160,0,normal
161,0,normal
162,0,normal
163,0,normal
164,0,normal
165,0,normal
166,0,normal
167,0,normal
168,0,normal
169,0,normal
170,0,normal
171,0,normal
172,0,normal
173,0,normal
174,0,normal
175,0,normal
176,0,normal
177,0,normal
178,0,normal
179,0,normal
180,0,normal
181,0,normal
182,0,normal
183,0,normal
184,0,normal
185,0,normal
186,0,normal
187,0,normal
188,0,normal
189,0,normal
190,0,normal
191,0,normal
192,0,normal
193,0,normal
194,0,normal
195,0,normal
196,0,normal
197,0,normal
198,0,normal
199,0,normal
200,0,normal
201,0,normal
202,0,normal
203,0,normal
204,0,normal
205,0,normal
206,0,normal
207,0,normal
208,0,normal
209,0,normal
210,0,normal
211,0,normal
212,0,normal
213,0,normal
214,0,normal
215,0,normal
216,0,normal
217,0,normal
218,0,normal
219,0,normal
220,0,normal
221,0,normal
222,0,normal
223,0,normal
224,0,normal
225,0,normal
226,0,normal
227,0,normal
228,0,normal
229,0,normal
230,0,normal
231,0,normal
232,0,normal
233,0,normal
234,0,normal
235,0,normal
236,0,normal
237,0,normal
238,0,normal
239,0,normal
240,0,normal
241,0,normal
242,0,normal
243,0,normal
244,0,normal
245,0,normal
246,0,normal
247,0,normal
248,0,normal
249,0,normal
250,0,normal
251,0,normal
252,0,normal
253,0,normal
254,0,normal
255,0,normal
256,0,normal
257,0,normal
258,0,normal
259,0,normal
260,0,normal
261,0,normal
262,0,normal
263,0,normal
264,0,normal
265,0,normal
266,0,normal
267,0,normal
268,0,normal
269,0,normal
270,0,normal
271,0,normal
272,0,normal
273,0,normal
274,0,normal
275,0,normal
276,0,normal
277,0,normal
278,0,normal
279,0,normal
280,0,normal
281,0,normal
282,0,normal
283,0,normal
284,0,normal
285,0,normal
286,0,normal
287,0,normal
288,0,normal
289,0,normal
290,0,normal
291,0,normal
292,0,normal
293,0,normal
294,0,normal
295,0,normal
296,0,normal
297,0,normal
298,0,normal
299,0,normal
